区中文,drive_Aij,walk_Aij,near_Aij,plus_Aij
宝安区,1439.269044,575.3047251,5117.908312,5117.908312
大鹏新区,218.1312855,141.5894985,244.3555234,244.3555234
福田区,853.817542,569.3806374,1504.443453,1504.443453
光明区,128.9055991,76.1765291,195.4584799,195.4584799
龙岗区,734.4569959,581.9293539,3389.704896,3410.694073
龙华区,601.0261994,164.8359733,557.0823807,596.2402639
罗湖区,442.2438823,262.0853772,6062.009297,6062.009297
南山区,1930.613932,511.1669693,1123.289399,1123.289399
坪山区,686.4334349,158.6131173,2230.230094,2230.230094
盐田区,164.1726677,40.38612167,232.3573503,232.3573503
(空白),74.61307174,64.68948793,95.32347377,95.32347377
总计,7273.683655,3146.157791,20752.16266,20812.30972
